CODIGO	CLAVE	PRECIO1	PRECIO2	COSTO	ULTIMO_COSTO	DESCRIPCION
01302235	TSC3/480AI304	0.0000	0.0000	351.5701	351.5701	TUBO A/INOX. S/COSTURA T-304 DE 026.7 X 03.9 MM. (3/4" CED. 80)
01302236	TSC640GRA	0.0000	0.0000	1556.8250	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 168.3 X 07.1 MM. GALV. RAN (6" CED. 40)
01302237	TSC440GRA	0.0000	0.0000	782.3250	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 114.3 X 06.0 MM. GALV. RAN (4" CED. 40)
01302238	TSC21/240GRA	0.0000	0.0000	479.4800	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 073.0 X 05.2 MM. GALV. RAN (2 1/2" CED. 40)
01302239	TSC11/440GRA	0.0000	0.0000	264.5700	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 042.2 X 03.6 MM. GALV. RAN (1 1/4" CED. 40)
01302240	TSC240GRA	0.0000	0.0000	350.4700	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 060.3 X 03.9 MM. GALV. RAN. (2" CED. 40)
01302241	TCC31/20AI316	0.0000	0.0000	0.0000	0.0000	TUBO A/INOX. C/COSTURA T-316 DE 101.6 X 4.33 MM. (3 1/2" CED. 10)
01302242	TCC210AI316TM	0.0000	0.0000	0.0000	0.0000	TUBO A/INOX. C/COSTURA T-316 DE 60.3 X 2.8 MM. (2" CED. 10)
01302243	TCC11/210AI316TM	0.0000	0.0000	0.0000	0.0000	TUBO A/INOX. C/COSTURA T-316 DE 48.3 X 2.08 MM. (1 1/2" CED. 10)
01302244	TCC110AI316TM	0.0000	0.0000	0.0000	0.0000	TUBO A/INOX. C/COSTURA T-316 DE 33.4 X 2.77 MM (1" CED 10)
01302245	TCC1620TM	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 406 X 07.9 MM. (16" CED. 20)
01302246	TCC1820TM	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 457 X 7.92 MM. (18" CED. 20)
01302248	TCC1820TM	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 457 X 7.92 MM. (18" CED. 20)
01302247	TSC140TM	0.0000	0.0000	681.3890	0.0000	TUBO DE ACERO AL CARBON SIN COSTURA 033.4 X 03.4 MM. (1" CED. 40)
01302249	TSC440TM	0.0000	0.0000	3779.0700	3614.0530	TUBO DE ACERO AL CARBON SIN COSTURA 114.3 X 06.0 MM. (4" CED. 40)
01302250	TCC1/240TM	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 021.3 X 02.8 MM. (1/2" CED. 40)
01302251	TCC1420TM	0.0000	0.0000	0.0000	0.0000	TUBO DE ACERO AL CARBON CON COSTURA DE 356 X 07.9 MM. (14" CED. 20)
